system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,source_accuracy,source_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,271,0.0,0.012296274510880239,0.0,0.0,,0.0,1.0,0.48500312995371786,0.0,0.5819630356319936,37.638376383763834,16.343173431734318,8.085910517351214,17527.70439988654,,,0.0,0.0,0.0,0.0
oracle_gpt,271,0.0,0.00876078506711253,0.0,0.0,,0.0,1.0,0.5543730809487319,0.0,0.7254279323293384,125.46863468634686,13.055350553505535,8.023799671018256,15114.127185704134,1.0,1.0,0.0,0.0,0.0,-2413.5772141824073
rag_gpt_tfidf_top3,271,0.0,0.00026357406431207165,0.5360824742268041,0.0,0.7761194029850746,0.0,1.0,0.17364691588271589,0.012390098427989386,0.2293452327225591,255.60885608856088,5.512915129151292,8.235042908094906,44958.5887869034,0.33579335793357934,0.47232472324723246,1.0,1.0,0.8507462686567164,27430.884387016857
random_context_gpt,271,0.0,0.0031075325861856682,0.0,0.0,,0.0,1.0,0.22455580516055063,0.0,0.2553482730340254,255.97785977859778,7.785977859778598,8.018176453579835,14288.145674317191,0.05166051660516605,0.13653136531365315,0.3247232472324723,0.3247232472324723,0.40298507462686567,-3239.55872556935
