system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,108,0.0,0.009547087348853652,0.0,0.0,,,,0.4357589853030664,0.0,0.5095095241235362,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0
oracle_gpt,108,0.0,0.015534651432913002,0.0,0.0,,,,0.8494853967697256,0.0,0.9202524232678115,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798
rag_gpt_tfidf_top3,108,0.0,0.0002258355916892502,0.0,0.0,,,,0.2168934073264676,0.00935182542781587,0.34155595269813027,256.0,3.712962962962963,7.5432144712518765,2423.184212697761,0.2037037037037037,0.2222222222222222,0.3611111111111111,1.0,1.0,0.0,,312.25561251017234
random_context_gpt,108,0.0,0.004287836922174724,0.0,0.0,,,,0.3709545548039454,0.0,0.44579402866117934,256.0,6.398148148148148,7.520683818393284,2344.683811920029,0.0,0.0,0.0,0.35185185185185186,0.35185185185185186,0.0,,233.75521173244033
