chunk_config,system,average_generation_latency,average_retrieval_latency,average_total_latency,latency_delta_vs_baseline,average_prompt_tokens,average_completion_tokens
fixed_128,baseline_gpt,0.4042161978884703,0.0,0.5294911508896837,0.0,40.361111111111114,8.75
fixed_128,oracle_gpt,0.9904762235366636,0.0,1.2481792587614446,0.718688107871761,105.28703703703704,13.648148148148149
fixed_128,rag_gpt_tfidf_top3,0.2190817706459374,0.0127564206098516,0.2936071001545147,-0.235884050735169,256.0,5.861111111111111
fixed_128,random_context_gpt,0.3359863001301332,0.0,0.3799238324648252,-0.1495673184248585,256.0,7.888888888888889
fixed_256,baseline_gpt,0.466191860553981,0.0,0.5307284320049264,0.0,40.361111111111114,8.75
fixed_256,oracle_gpt,0.8830504015226055,0.0,0.9586790087115432,0.42795057670661685,105.28703703703704,13.648148148148149
fixed_256,rag_gpt_tfidf_top3,0.2218605081067869,0.0108319013207047,0.3600932963330436,-0.17063513567188276,256.0,4.12962962962963
fixed_256,random_context_gpt,0.3631946541265481,0.0,0.4441891302596087,-0.08653930174531765,256.0,6.361111111111111
fixed_512,baseline_gpt,0.4357589853030664,0.0,0.5095095241235362,0.0,40.361111111111114,8.75
fixed_512,oracle_gpt,0.8494853967697256,0.0,0.9202524232678116,0.4107428991442754,105.28703703703704,13.648148148148149
fixed_512,rag_gpt_tfidf_top3,0.2168934073264676,0.0093518254278158,0.3415559526981302,-0.167953571425406,256.0,3.712962962962963
fixed_512,random_context_gpt,0.3709545548039454,0.0,0.4457940286611793,-0.06371549546235694,256.0,6.398148148148148
section_180,baseline_gpt,0.3879245553959023,0.0,0.4383505294789319,0.0,40.361111111111114,8.75
section_180,oracle_gpt,0.669668663551824,0.0,0.7260891397449153,0.2877386102659834,105.28703703703704,13.648148148148149
section_180,rag_gpt_tfidf_top3,0.205035719330664,0.0049251110844865,0.3656345132427911,-0.07271601623614077,233.11111111111111,4.166666666666667
section_180,random_context_gpt,0.2900611792035676,0.0,0.3543504099189131,-0.0840001195600188,256.0,6.203703703703703
table_aware_clean,baseline_gpt,0.2770882238185516,0.0,0.3194864444020722,0.0,40.361111111111114,8.75
table_aware_clean,oracle_gpt,0.4874293961113802,0.0,0.5358347302578665,0.21634828585579435,105.28703703703704,13.648148148148149
table_aware_clean,rag_gpt_tfidf_top3,0.1465600232455741,0.010348384320322,0.2350266264682566,-0.0844598179338156,255.92592592592592,3.712962962962963
table_aware_clean,random_context_gpt,0.2909429892552672,0.0,0.3350140542757732,0.015527609873700998,256.0,7.453703703703703
table_aware_clean_context,baseline_gpt,0.2644365951418876,0.0,0.3010901860306384,0.0,40.361111111111114,8.75
table_aware_clean_context,oracle_gpt,0.4914529225271609,0.0,0.5335164277952302,0.2324262417645918,105.28703703703704,13.648148148148149
table_aware_clean_context,rag_gpt_tfidf_top3,0.1436797969940084,0.0094820053351146,0.2195062268766816,-0.08158395915395683,255.92592592592592,3.712962962962963
table_aware_clean_context,random_context_gpt,0.2718142119270784,0.0,0.3135172332361065,0.012427047205468056,256.0,7.453703703703703
table_aware_mixed,baseline_gpt,0.2675484619965708,0.0,0.3084606488269788,0.0,40.361111111111114,8.75
table_aware_mixed,oracle_gpt,0.4930206245777231,0.0,0.5372856083429522,0.22882495951597343,105.28703703703704,13.648148148148149
table_aware_mixed,rag_gpt_tfidf_top3,0.1400262528547534,0.0094056848816021,0.2225526199434642,-0.08590802888351462,255.92592592592592,3.712962962962963
table_aware_mixed,random_context_gpt,0.2879641458599103,0.0,0.331769867748436,0.023309218921457153,256.0,8.018518518518519
table_row_only,baseline_gpt,0.286980733965282,0.0,0.3276391733713724,0.0,40.361111111111114,8.75
table_row_only,oracle_gpt,0.489280952916791,0.0,0.5340577989333758,0.2064186255620034,105.28703703703704,13.648148148148149
table_row_only,rag_gpt_tfidf_top3,0.2302850111284189,0.004027422155357,0.3177679576566098,-0.009871215714762571,227.94444444444449,3.0462962962962963
table_row_only,random_context_gpt,0.666553926171252,0.0,0.720877832112213,0.39323865874084063,255.69444444444449,17.564814814814813
