chunk_config,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,wrong_section_count,answer_split_across_chunks_count,boilerplate_count,retrieval_miss_count,average_retrieval_latency
fixed_128,0.3611111111111111,0.5648148148148148,0.5648148148148148,1.0,0.0,,47,0,0,0,0.0127564206098516
fixed_256,0.2592592592592592,0.4444444444444444,0.4537037037037037,1.0,0.0,,59,0,0,0,0.0108319013207047
fixed_512,0.2037037037037037,0.2222222222222222,0.3611111111111111,1.0,0.0,,69,0,0,0,0.0093518254278158
section_180,0.1111111111111111,0.2407407407407407,0.2407407407407407,1.0,0.287037037037037,,77,5,0,0,0.0049251110844865
table_aware_clean,0.3055555555555556,0.3981481481481481,0.3981481481481481,1.0,0.3611111111111111,,65,0,0,0,0.010348384320322
table_aware_clean_context,0.3055555555555556,0.3981481481481481,0.3981481481481481,1.0,0.3611111111111111,,65,0,0,0,0.0094820053351146
table_aware_mixed,0.3055555555555556,0.3981481481481481,0.3981481481481481,1.0,0.3611111111111111,,65,0,0,0,0.0094056848816021
table_row_only,0.0,0.0,0.0,0.8518518518518519,0.0,,92,0,0,16,0.004027422155357
