system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,108,0.0,0.009547087348853652,0.0,0.0,,,,0.28698073396528206,0.0,0.3276391733713724,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0
oracle_gpt,108,0.0,0.015534651432913002,0.0,0.0,,,,0.489280952916791,0.0,0.5340577989333758,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.23028501112841898,0.004027422155357069,0.3177679576566098,227.94444444444446,3.0462962962962963,7.5742089439321445,2542.1307459910777,0.0,0.0,0.0,0.8518518518518519,0.8518518518518519,0.0,,431.2021458034892
random_context_gpt,108,0.0,0.008462379906741,0.0,0.0,,,,0.666553926171252,0.0,0.720877832112213,255.69444444444446,17.564814814814813,7.6255726063693015,2641.3864575153775,0.0,0.0,0.0,0.35185185185185186,0.35185185185185186,0.0,,530.457857327789
