system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,108,0.0,0.009547087348853652,0.0,0.0,,,,0.3879245553959023,0.0,0.4383505294789319,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0
oracle_gpt,108,0.0,0.015534651432913002,0.0,0.0,,,,0.669668663551824,0.0,0.7260891397449153,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.20503571933066403,0.004925111084486599,0.3656345132427911,233.11111111111111,4.166666666666667,7.513816166807104,2376.4904286979877,0.1111111111111111,0.24074074074074073,0.24074074074074073,1.0,1.0,0.28703703703703703,,265.5618285103992
random_context_gpt,108,0.0,0.005822954509318258,0.0,0.0,,,,0.29006117920356767,0.0,0.35435040991891315,256.0,6.203703703703703,7.507431308428447,2310.4227346938337,0.0,0.0,0.0,0.25925925925925924,0.25925925925925924,0.5370370370370371,,199.49413450624525
