system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,source_accuracy,source_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,3,0.0,0.0,0.0,0.0,,,,0.01884731960793336,0.0,0.028986167162656784,35.0,2.0,10.398452123006185,34078.3046121128,,,0.0,0.0,0.0,0.0
oracle_gpt,3,0.0,0.0,0.0,0.0,,,,0.060441249360640846,0.0,0.10538284666836262,131.0,2.0,10.033618927001953,23184.551648648314,1.0,1.0,0.0,0.0,0.0,-10893.752963464485
rag_gpt_tfidf_top3,3,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,,,0.128680986041824,0.037632916743556656,0.2707525125394265,256.0,2.0,10.323359171549479,32132.888285764715,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,-1945.416326348084
random_context_gpt,3,0.0,0.0,0.0,0.0,,,,0.13888742898901305,0.0,0.21028426537911096,256.0,2.0,9.385180155436197,14226.365323517372,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-19851.93928859543
