system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,108,0.0,0.009547087348853652,0.0,0.0,,,,0.466191860553981,0.0,0.5307284320049264,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0
oracle_gpt,108,0.0,0.015534651432913002,0.0,0.0,,,,0.8830504015226055,0.0,0.9586790087115433,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.2218605081067869,0.010831901320704707,0.36009329633304366,256.0,4.12962962962963,7.541027245698152,2427.1521510381735,0.25925925925925924,0.4444444444444444,0.4537037037037037,1.0,1.0,0.0,,316.22355085058507
random_context_gpt,108,0.0,0.004714566568751381,0.0,0.0,,,,0.3631946541265481,0.0,0.44418913025960877,256.0,6.361111111111111,7.507687732025429,2308.9091040547924,0.0,0.0,0.0,0.39814814814814814,0.39814814814814814,0.0,,197.98050386720388
