system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,271,0.0,0.0122962745108802,0.0,0.0,,0.0,1.0,0.6343394335757983,0.0,0.7416312952364393,37.638376383763834,16.343173431734318,8.085910517351214,17527.70439988654,,,,0.0,0.0,0.0,0.0,0.0
oracle_gpt,271,0.0,0.0087607850671125,0.0,0.0,,0.0,1.0,0.6791036341174392,0.0,0.8737527271835787,125.46863468634686,13.055350553505535,8.023799671018256,15114.127185704134,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-2413.5772141824073
rag_gpt_tfidf_top3,271,0.0,0.000263574064312,0.5051546391752577,0.0,0.7313432835820896,0.0,1.0,0.1616888359477709,0.0137654418105128,0.2300500729262169,255.6309963099631,4.239852398523985,8.245527123173224,46307.24356773407,0.2583025830258302,0.4206642066420664,0.4132841328413284,1.0,1.0,0.2918287937743191,0.8507462686567164,28779.539167847528
random_context_gpt,271,0.0,0.0028421559515646,0.0,0.0,,0.0,1.0,0.2565675717795687,0.0,0.2970727432684155,255.7785977859779,7.339483394833948,8.02524279844277,15148.249991157229,0.033210332103321,0.1217712177121771,0.1107011070110701,0.3616236162361623,0.3616236162361623,0.2957198443579766,0.582089552238806,-2379.4544087293125
