system,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens
baseline_gpt,0.4850031299537178,0.0,0.5819630356319936,37.638376383763834,16.343173431734318
oracle_gpt,0.5543730809487319,0.0,0.7254279323293384,125.46863468634686,13.055350553505535
rag_gpt_tfidf_top3,0.1736469158827158,0.0123900984279893,0.2293452327225591,255.60885608856088,5.512915129151292
random_context_gpt,0.2245558051605506,0.0,0.2553482730340254,255.97785977859775,7.785977859778598
