system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,108,0.0,0.009547087348853652,0.0,0.0,,,,0.26443659514188766,0.0,0.3010901860306384,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0
oracle_gpt,108,0.0,0.015534651432913002,0.0,0.0,,,,0.4914529225271609,0.0,0.5335164277952302,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.1436797969940084,0.00948200533511462,0.21950622687668161,255.92592592592592,3.712962962962963,7.572985229668794,2557.8041358339797,0.3055555555555556,0.39814814814814814,0.39814814814814814,1.0,1.0,0.3611111111111111,,446.8755356463912
random_context_gpt,108,0.0,0.005591668185687275,0.0,0.0,,,,0.2718142119270784,0.0,0.3135172332361065,256.0,7.453703703703703,7.526266332025881,2330.605033299982,0.0,0.009259259259259259,0.009259259259259259,0.3888888888888889,0.3888888888888889,0.37037037037037035,,219.67643311239362
