chunk_config,system,average_generation_latency,average_retrieval_latency,average_total_latency,latency_delta_vs_baseline,average_prompt_tokens,average_completion_tokens
fixed_128,baseline_gpt,0.1112541686743497,0.0,0.2004482112824916,0.0,29.0,1.0
fixed_128,oracle_gpt,0.033541539683938,0.0,0.0652405843138694,-0.1352076269686222,66.0,1.0
fixed_128,rag_gpt_tfidf_top3,0.2624957077205181,0.0205982085317373,0.690505750477314,0.4900575391948224,256.0,1.0
fixed_128,random_context_gpt,0.0959964990615844,0.0,0.2074157930910587,0.006967581808567103,256.0,1.0
table_aware_clean,baseline_gpt,0.0106211230158805,0.0,0.0277703367173671,0.0,29.0,1.0
table_aware_clean,oracle_gpt,0.0097170416265726,0.0,0.0286400411278009,0.0008697044104338005,66.0,1.0
table_aware_clean,rag_gpt_tfidf_top3,0.0440849997103214,0.0062105413526296,0.109136875718832,0.0813665390014649,256.0,1.0
table_aware_clean,random_context_gpt,0.0486047491431236,0.0,0.1169405411928892,0.0891702044755221,256.0,1.0
