system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,source_accuracy,source_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,3,0.0,0.0,0.0,0.0,,,,0.020809235672156017,0.0,0.032119582717617355,35.0,2.0,10.398452123006185,34078.3046121128,,,0.0,0.0,0.0,0.0
oracle_gpt,3,0.0,0.0,0.0,0.0,,,,0.024423805996775627,0.0,0.039560667549570404,131.0,2.0,10.033618927001953,23184.551648648314,1.0,1.0,0.0,0.0,0.0,-10893.752963464485
rag_gpt_tfidf_top3,3,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,,,0.051199292143185936,0.01785847172141075,0.10202948500712712,256.0,2.0,10.323359171549479,32132.888285764715,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,-1945.416326348084
random_context_gpt,3,0.0,0.0,0.0,0.0,,,,0.04907595862944921,0.0,0.08342498665054639,256.0,2.0,9.385180155436197,14226.365323517372,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-19851.93928859543
