system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,source_accuracy,source_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,3,0.0,0.0,0.0,0.0,,,,0.015216138834754625,0.0,0.024224653219183285,35.0,2.0,10.398452123006185,34078.3046121128,,,0.0,0.0,0.0,0.0
oracle_gpt,3,0.0,0.0,0.0,0.0,,,,0.027659805491566658,0.0,0.047405499344070755,131.0,2.0,10.033618927001953,23184.551648648314,1.0,1.0,0.0,0.0,0.0,-10893.752963464485
rag_gpt_tfidf_top3,3,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,,,0.06546205530563991,0.02435591754813989,0.13317247355977693,256.0,2.0,10.322654088338217,32119.260911987567,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,-1959.0437001252321
random_context_gpt,3,0.0,0.0,0.0,0.0,,,,0.062490902841091156,0.0,0.10505422142644723,256.0,2.0,9.530146916707357,15447.022889735921,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,-18631.28172237688
