system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,3,0.0,0.0,,,,,,0.012728235994776,0.0,0.0309405686954657,33.0,1.0,8.074408531188965,3811.4880774512217,,,,0.0,0.0,0.0,,0.0
oracle_gpt,3,0.0,0.0,,,,,,0.0172316661725441,0.0,0.0477948319166898,74.66666666666667,1.0,8.070932547251383,3803.8846413922024,1.0,1.0,1.0,0.0,0.0,0.0,,-7.603436059019259
rag_gpt_tfidf_top3,3,0.0,0.0,,,,,,0.0594380976011355,0.0064609721302986,0.1658235546201467,256.0,1.0,8.269638856252035,4595.341585955976,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,783.8535085047547
random_context_gpt,3,0.0,0.0,,,,,,0.0645045818140109,0.0,0.1419335274646679,256.0,1.0,8.132378260294596,4000.6627868268297,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,189.174709375608
