system,num_questions,exact_match,token_f1,numeric_accuracy,numeric_generation_accuracy,numeric_extraction_accuracy,refusal_accuracy,hallucination_rate,average_generation_latency,average_retrieval_latency,average_total_latency,average_prompt_tokens,average_completion_tokens,average_gold_answer_loss,average_gold_answer_perplexity,answer_coverage_at_1,answer_coverage_at_3,answer_coverage_at_5,source_accuracy,source_accuracy_at_3,section_accuracy_at_3,table_row_recall_at_3,perplexity_delta_vs_baseline
baseline_gpt,108,0.0,0.009547087348853652,0.0,0.0,,,,0.40421619788847035,0.0,0.5294911508896837,40.361111111111114,8.75,7.431242342348452,2110.9286001875885,,,,0.0,0.0,0.0,,0.0
oracle_gpt,108,0.0,0.015534651432913002,0.0,0.0,,,,0.9904762235366635,0.0,1.2481792587614446,105.28703703703704,13.648148148148149,7.439681304825677,2178.6870323149165,1.0,1.0,1.0,0.0,0.0,0.0,,67.75843212732798
rag_gpt_tfidf_top3,108,0.0,0.0,0.0,0.0,,,,0.21908177064593742,0.012756420609851679,0.2936071001545147,256.0,5.861111111111111,7.533473628538626,2424.7017502504946,0.3611111111111111,0.5648148148148148,0.5648148148148148,1.0,1.0,0.0,,313.7731500629061
random_context_gpt,108,0.0,0.006680492554810563,0.0,0.0,,,,0.33598630013013325,0.0,0.37992383246482525,256.0,7.888888888888889,7.495183083746168,2301.8129106872,0.0,0.0,0.0,0.3888888888888889,0.3888888888888889,0.0,,190.88431049961173
